Age,Candidate,Constituency_Name,Constituency_No,Constituency_Type,Contested,DelimID,Deposit_Lost,District_Name,ENOP,Electors,Incumbent,Last_Constituency_Name,Last_Party_ID,Margin,Votes,Margin_Percentage,MyNeta_education,N_Cand,No_Terms,Party,Party_ID,Party_Type_TCPD,Poll_No,Position,Recontest,Same_Constituency,Same_Party,Sex,Sub_Region,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Turncoat,Turnout_Percentage,Valid_Votes,Vote_Share_Percentage,Votes,last_poll,pid,username,id,displayname,description,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,protected,profileImageUrl,profileBannerUrl,username,party,district_code
47,MUKESH CHOUDHARY,NAKUR,2,GEN,1,4,no,SAHARANPUR,2.94,355840,FALSE,,,315,104114,0.12,Graduate,11,1,BJP,1605,National Party,0,1,FALSE,,,M,WEST,Labourer or Daily Wage,,Agriculture,,FALSE,76.06,270652,38.47,104114,TRUE,AEUP2025307,MukeshC20682218,984121026777833472,Mukesh choudhary BJP SRE,मुकेश चौधरी,FALSE,2018-04-11T17:28:31+00:00,308,951,1456,2018,0,409,"Saharanpur, India",FALSE,https://pbs.twimg.com/profile_images/1092445390815686661/MzJxmEHJ_normal.jpg,https://pbs.twimg.com/profile_banners/984121026777833472/1552830482,MukeshC20682218,bjp,SAH
43,PRAVEEN KUMAR DHIMAN,DEOBAND,5,GEN,1,4,yes,SAHARANPUR,3.03,349384,FALSE,,,0,243,0,Others,10,0,AAAP,13,State-based Party,0,11,FALSE,,,M,WEST,Business,,,,FALSE,69.32,242193,0.1,243,TRUE,AEUP2025337,DhimanParveenk,1080369796162732032,प्रवीण कुमार धीमान,,FALSE,2019-01-02T07:46:46+00:00,323,291,16005,27805,0,291,,FALSE,https://pbs.twimg.com/profile_images/1227869108013715457/CWg3JpIO_normal.jpg,,DhimanParveenk,aap,SAH
43,VIVEK KANT,RAMPUR MANIHARAN,6,SC,1,4,no,SAHARANPUR,3.12,324347,FALSE,,,60258,64864,25.95,Literate,9,0,RLD,12169,State-based Party,0,3,FALSE,,,M,WEST,Business,,,,FALSE,71.6,232233,27.93,64864,TRUE,AEUP2025350,vivekant,1355888492576825346,विवेक कांत चेरमैन,,FALSE,2021-01-31T14:40:08+00:00,6,8,13,31,0,6,"Saharanpur, India",FALSE,https://pbs.twimg.com/profile_images/1355933173763301376/1XCHf1jz_normal.jpg,https://pbs.twimg.com/profile_banners/1355888492576825346/1612114635,vivekant,inc,SAH
56,Tejendra Singh,SHAMLI,10,GEN,1,4,no,PRABUDDHA NAGAR,2.22,312151,FALSE,,,87780,95963,41.61,Post Graduate,10,0,BJP,1605,National Party,0,2,FALSE,,,M,WEST,Politics,MLA,Agriculture,,FALSE,67.58,210952,45.49,95963,TRUE,AEUP2024682,tejendrabjp,1214971623830278144,Tejendra Nirwal BJP,"Politician, 
विधायक शामली, 
भारतीय जनता पार्टी",TRUE,2020-01-08T18:07:03+00:00,1616,53,1108,525,1,1081,"Shamli, India",FALSE,https://pbs.twimg.com/profile_images/1214972624704458753/gVUAFrpY_normal.jpg,https://pbs.twimg.com/profile_banners/1214971623830278144/1580056819,tejendrabjp,bjp,SHM
70,Rajpal Singh Baliyan,BUDHANA,11,GEN,4,4,no,MUZAFFARNAGAR,2.38,377416,FALSE,BUDHANA,12169,28310,131093,11.07,12th Pass,11,2,RLD,12169,State-based Party,0,1,FALSE,TRUE,TRUE,M,WEST,Politics,Ex MLA,Agriculture,,FALSE,67.73,255624,51.28,131093,TRUE,AEUP105260,Rajpalbalyan,1265634260800679936,RAJPAL BALIYAN,"राष्ट्रीय सचिव रालोद,पूर्व जिलाध्यक्ष रालोद 



1996-2007 विधायक खतौली(2 बार)



4 बार रालोद विधायक प्रत्याशी(3 खतौली,1 बुढ़ाना)",FALSE,2020-05-27T13:22:11+00:00,1972,196,663,5754,2,182,"Muzaffarnagar, India",FALSE,https://pbs.twimg.com/profile_images/1449415606713794563/riq5f5fb_normal.jpg,https://pbs.twimg.com/profile_banners/1265634260800679936/1629036472,Rajpalbalyan,rld,MUZ
58,RAJA BHARATENDRA SINGH,NAJIBABAD,17,GEN,4,4,no,BIJNOR,2.86,347601,FALSE,BIJNOR,1605,34178,78905,14.69,Graduate,12,2,BJP,1605,National Party,0,2,FALSE,FALSE,TRUE,M,ROHILKHAND,Retired or Pension,,Agricultural Labour,,FALSE,66.92,232615,33.92,78905,TRUE,AEUP54247,BharatendraBJP,721327670563315712,Bharatendra Singh,Official Twitter profile of Lok Sabha MP Bijnor. BJP Karyakarta,TRUE,2016-04-16T13:21:33+00:00,2158,142,2505,263,10,1144,"Bijnor, India",FALSE,https://pbs.twimg.com/profile_images/853358029734985728/w7ctIySI_normal.jpg,https://pbs.twimg.com/profile_banners/721327670563315712/1460813174,BharatendraBJP,bjp,BIJ
33,BRAJPAL,NAGINA,18,SC,1,4,no,BIJNOR,3.12,347358,FALSE,,,30649,40164,13.73,Post Graduate,12,0,BSP,16651,State-based Party,0,3,FALSE,,,M,ROHILKHAND,Business,Contractor,,,FALSE,64.28,223282,17.99,40164,TRUE,AEUP2025384,IBrajpalBSP,1156865240782397442,Brajpal Singh BSP,"प्रत्याशी, नगीना विधानसभा (18), जिला बिजनौर, बहुजन समाज पार्टी. Missionary Worker, Ambedkarite, फोन करे:01140848382 फेसबुक पर फॉलो करे facebook.com/ibrajpalbsp",FALSE,2019-08-01T09:52:21+00:00,2622,236,682,930,3,382,"Nagina,Bijnor UP, India",FALSE,https://pbs.twimg.com/profile_images/1495719905496162304/X6lzZrb6_normal.jpg,https://pbs.twimg.com/profile_banners/1156865240782397442/1634735487,IBrajpalBSP,bsp,BIJ
53,NIRMAL MISHRA,BARHAPUR,19,GEN,2,4,yes,BIJNOR,2.94,359934,FALSE,BARHAPUR,10809,101,438,0.04,Graduate Professional,14,0,AAAP,13,State-based Party,0,12,TRUE,TRUE,FALSE,M,ROHILKHAND,Liberal Profession or Professional,Lawyer,,,FALSE,66.89,240760,0.18,438,TRUE,AEUP100446,Nirmal_AAP,914877933549998080,Adv. Nirmal Mishra,"प्रदेश सहप्रभारी, #AamAadmiParty, उत्तर प्रदेश।",FALSE,2017-10-02T15:41:11+00:00,1153,1104,2107,1841,0,104,"अफजलगढ़, बिजनौर (उ.प्र.)",FALSE,https://pbs.twimg.com/profile_images/1349007788920418304/UIokC_Rq_normal.jpg,,Nirmal_AAP,aap,BIJ
30,PRIYA SINGH,NEHTAUR,21,SC,1,4,no,BIJNOR,2.94,305072,FALSE,,,36677,38020,18.35,Graduate,11,0,BSP,16651,State-based Party,0,3,FALSE,,,F,ROHILKHAND,Other,,,,FALSE,65.53,199914,19.02,38020,TRUE,AEUP2025415,priyamohit,33618141,Priya Singh,वसुधैव कुटुम्बकम्. Thrive on social and human development impact. Co-founder @Chaloapp. Board Member @BBFSchools. Mix of strong ideology & deep compassion!.,FALSE,2009-04-20T18:52:06+00:00,1186,74,5963,4548,13,435,India,FALSE,https://pbs.twimg.com/profile_images/1290311099745615872/Rt7lM7ZT_normal.jpg,https://pbs.twimg.com/profile_banners/33618141/1471258908,priyamohit,bsp,BIJ
34,MEENAKSHI,NEHTAUR,21,SC,1,4,yes,BIJNOR,2.94,305072,FALSE,,,5,1343,0,Post Graduate,11,0,INC,3482,National Party,0,4,FALSE,,,F,ROHILKHAND,Other,Household,,,FALSE,65.53,199914,0.67,1343,TRUE,AEUP2025414,meenakshiroopal,710523796587831296,Meenakshi Singh Dabas,भाजपा कार्यकर्ता एवं पूर्व जिला पंचायत सदस्य प्रत्याशी,FALSE,2016-03-17T17:50:48+00:00,14,15,632,1471,1,9,"Bijnor, India",FALSE,https://pbs.twimg.com/profile_images/1435527342827261953/mG_UR050_normal.jpg,https://pbs.twimg.com/profile_banners/710523796587831296/1631091456,meenakshiroopal,inc,BIJ
