,username,id,displayname,description,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,label,party,district_code
0,Shubham98021445,1080645246093066240,Shubham Saxena_inc,State secretary up west (NSUI) Congress party,False,2019-01-03T02:01:18+00:00,67,157,133,817,,inc,SHJ
1,Divakarpbt,3826452073,Divakar verma,"शिशु मन्दिर के संस्कार आज भी मुझमे ज़िन्दा हैं        ⛳⛳                            #जय_माँ_भारती⛳⛳
भाजपा आई टी विभाग, पीलीभीत, उत्तरप्रदेश",False,2015-10-08T14:58:44+00:00,488,1056,1762,1078,,bjp,PIL
4,Yadavvinay4149,1250271528039546881,Vinay yadav,"समाजवादी ,Photography, modelling
7398266669",False,2020-04-15T03:55:52+00:00,851,1673,575,853,,sp,AYD
5,ankiydv09,898926064159694848,ANKIT SINGH YADAV,समाजवादी पार्टी,False,2017-08-19T15:14:09+00:00,177,633,198,1215,,sp,ALH
8,nILkxCQ606mM1J5,1284210023598415872,Ausaf sp 🚴,समाजवादी पार्टी 🚴🚴🚴,False,2020-07-17T19:36:25+00:00,174,286,410,1016,,sp,MAI
9,AjayYad85589055,1229996095314550784,Ajay Yadav,"I'm AJAY YADAV. जिला सोशल मीडिया प्रभारी
                    समाजवादी मुलायम सिंह यूथ ब्रिगेड उन्नाव",False,2020-02-19T05:08:38+00:00,77,263,85,159,,sp,LCK
10,yadavlalu772,2722819625,vansh kumar yadav,समाजवादी पार्टी कन्नौज,False,2014-07-24T09:35:09+00:00,128,172,94,1280,,sp,KAN
17,AleemsiddiquiSP,1036892594129723392,Aleem Siddiqui,"महानगर अध्यक्ष समाजवादी पार्टी मुजफ्फरनगर                          (पूर्व सदस्य)--उत्तर प्रदेश वाणिज्य कर सलाहकार समिति 
facebook.com/aleem.bhai.165",False,2018-09-04T08:23:53+00:00,2813,1948,15894,31194,,sp,MUZ
18,spmohdadnan,2796284737,Mohammad Adnan,District President Samajwadi Lohiya Vahini Kanpur Dehat,False,2014-09-07T16:46:02+00:00,906,905,7204,16884,,sp,KND
21,waseemh39398122,912742448022949888,🇧🇫🇧🇫Waseem Hashmi Samajwadi Party🇧🇫🇧🇫🇧🇫,"नगर अध्यक्ष समाजवादी पार्टी शाहाबाद

I LOVE SAMAJWADI PARTY AKHILESH YADAV JI  AALI JANAAB MOHAMMAD AZAM KHAN SAHAB
📱9410466960 📲9715183786",False,2017-09-26T18:15:32+00:00,247,678,265,50,,sp,RAM
